Date,Item Identifier,Item Name,Amount
08/29/2024,1217294,ETHIOPIAN,17.89
08/29/2024,1025795,KS 5DZ EGGS,13.99
08/29/2024,1437087,BRNBRRY 2/,245.99
08/29/2024,1548087,GODIVA ASST,10.99
08/29/2024,251680,ORG RASPBERY,8.99
08/29/2024,1015237,KS STIR FRY,9.99
08/29/2024,29192,TOP SIRLOIN,49.18
08/29/2024,336118,/BEEF,-7
08/29/2024,34777,REGGIANO,17.25
08/29/2024,702669,BLACKBERRIES,4.49
08/29/2024,39036,ROMAINE,5.39
08/29/2024,1375333,FLOUR 12 LB,9.49
08/29/2024,1450796,CHKN CHUNKS,17.89
08/29/2024,1199652,BUTER CROISS,5.99
08/29/2024,128914,KS UNSLTD,11.99
08/29/2024,27003,STRAWBERRIES,4.49
08/29/2024,1200200,KS GS SCAMPI,31.98
08/29/2024,568915,ORGCUCUMBER,5.99
08/29/2024,669434,CAPE COD RF,7.49
08/29/2024,1285702,TOOTHPASTE,16.99
08/29/2024,77053,GRAPE TOMATO,4.89
08/29/2024,TAX,TAX,1.36
09/22/2024,6262016,**KS BATH**,19.99
09/22/2024,698091,TORTILLAS,8.49
09/22/2024,1116038,KS MOZSHRED,13.99
09/22/2024,1394792,KINDERBUENO,16.99
09/22/2024,1641593,QNTOPPER,149.99
09/22/2024,33724,GROUND BEEF,24.87
09/22/2024,891742,COKEZERO35**,16.99
09/22/2024,782796,***KSWTR40PK,3.99
09/22/2024,633564,KS TOM PASTE,8.99
09/22/2024,1729619,BULA BEANNIE,16.99
09/22/2024,TAX,TAX,13.26
